Time	ms	Pane1-EM102A_flow	Pane1-EM102A_power	Pane1-EM102A_retTemp	Pane1-EM102A_suppTemp	Pane1-PT102A1_pv	Pane1-PT102A2_pv
45358.881944444445253	0	6,016.6320339	14,007.134292	12.0028003	4.9786267	4.01614	5.78507
45358.888888888890506	0	6,049.6426468	14,053.0628135	11.96763	4.9606394	4.00906	5.79354
45358.895833333335759	0	5,975.6058128	13,787.5066965	11.9190614	4.9605622	4.00806	5.79108
45358.902777777781012	0	5,979.8170285	13,724.161809	11.8843321	4.9604852	4.0148	5.79045
45358.909722222218988	0	6,019.1894163	13,508.507956	11.8551277	5.0814965	4.01193	5.80015
45358.916666666664241	0	6,005.1181299	13,043.01997	11.8192784	5.2621075	4.01704	5.7912399
45358.923611111109494	0	6,051.2227442	13,077.240279	11.7929256	5.2733018	4.0107399	5.7926099
45358.930555555554747	0	6,112.0733642	13,153.8279105	11.7655264	5.2724418	4.00522	5.78949
45358.9375	0	6,107.5437134	13,113.235597	11.7312793	5.2536628	4.01119	5.78675
45358.944444444445253	0	6,023.4663719	12,915.433134	11.7127168	5.2436936	4.0130399	5.79733
45358.951388888890506	0	6,030.2459789	12,860.5128925	11.7064273	5.2711383	4.0204599	5.7881401
45358.958333333335759	0	6,030.1098485	12,866.9943455	11.6897007	5.2511015	4.0160599	5.7968301
45358.965277777781012	0	5,998.558137	12,798.387707	11.6675804	5.2299248	4.0134799	5.81479
45358.972222222218988	0	6,102.7321118	12,957.741903	11.6409068	5.2354124	4.0264899	5.82168
45358.979166666664241	0	6,055.4939086	12,825.9591415	11.625432	5.23611	4.03828	5.82833
45358.986111111109494	0	5,976.1157861	12,593.48987	11.622514	5.264682	4.0490001	5.8161799
45358.993055555554747	0	5,987.0905763	12,621.533072	11.6262052	5.2658268	4.0505101	5.81997
45359	0	6,021.3176634	12,690.30739	11.6272843	5.268615	4.04727	5.8231301
45359.006944444445253	0	6,081.9315622	12,796.1274945	11.617912	5.2704063	4.0524	5.81558
45359.013888888890506	0	6,057.9079954	12,794.196433	11.6294215	5.2572337	4.0456099	5.82326
45359.020833333335759	0	6,054.6123458	12,727.4699085	11.6397336	5.2759163	4.04648	5.81701
45359.027777777781012	0	6,075.0445775	12,772.966777	11.6339504	5.2641868	4.04369	5.8158701
45359.034722222218988	0	6,108.6938113	12,907.972048	11.625659	5.2497075	4.03708	5.81482
45359.041666666664241	0	6,113.3938281	12,864.766942	11.6259424	5.2770804	4.0459899	5.80177
45359.048611111109494	0	6,121.4440307	12,870.9692075	11.6300721	5.2707607	4.0382899	5.80967
45359.055555555554747	0	6,149.7098732	12,911.982421	11.6357023	5.2814021	4.0356799	5.80527
